year,,year count,,air plane,number cuush plane,Operator,count Operator,Country,Country count,,Crash cause,Crash cause count,Flight phase,Flight phase count,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed P-3 Orion,45,Dobrolet,16,,,,,,,Niger,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nord 2501 Noratlas,45,Federal Aviation Administration - FAA,16,,,,,,,Turks and Caicos Islands,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avro 694 Lincoln,44,Guinea Airways,16,,,,,,,Cyprus,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft H18,44,JAT Yugoslav Airlines - Jugoslovenski Aerotransport,16,,,,,,,Bosnia and Herzegovina,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed C-60 LodeStar,44,Korean Air,16,,,,,,,Central African Republic,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Vickers PBV-1 Canso (OA-10 Canso),43,L¨ªneas A¨¦reas del Estado - LADE,16,,,,,,,French Polynesia,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 441 Conquest,43,Linee Aeree Transcontinentali Italiane - LATI,16,,,,,,,Macedonia,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker F28 Fellowship,42,Soviet Navy - Voyenno-morskoy flot CCCP,16,,,,,,,Trinidad and Tobago,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford 4,41,TAM Brasil - Taxi A¨¦reo Marilia - Transportes A¨¦reos Regionais,16,,,,,,,Marshall Islands,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft G18S,40,Transportes A¨¦reos Mercantiles Ecuatorianos - TAME,16,,,,,,,Samoa Islands (Western Samoa),10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cessna 500 Citation,40,Aviatia Utilitara,15,,,,,,,Bahrain,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dornier DO228,40,Civil Air Transport,15,,,,,,,Comoros Islands,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockwell Aero Commander 680,40,Continental Airlines,15,,,,,,,Djibouti,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short SC.7 Skyvan Variant,40,Dirgantara Air Service,15,,,,,,,Guinea,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beechcraft C18S,39,Fieldair,15,,,,,,,Malawi,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boeing B-50 Superfortress,39,Islamic Republic of Iran Air Force,15,,,,,,,Maldivian Islands,9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fokker F7,39,Lignes A¨¦riennes Lat¨¦co¨¨re,15,,,,,,,Benin,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handley Page H.P.70 Halifax VIII,39,Misrair,15,,,,,,,British Virgin Islands,8
